Дашборд: Tаблица 3-1-1-1-1-1-5
;СУДАК;;ЩУКА;;ГОЛАВЛЬ;;ОКУНЬ;;ЖЕРЕХ;;ПЛОТВА;;КРАСНОПЁРКА;;УКЛЕЙКА;;ЁРШ;;ПЕСКАРЬ;
;169;;194;;27;;2088;;2;;73;;12;;13;;100;;1;
;3600 гр.;;2455 гр.;;1280 гр.;;950 гр.;;910 гр.;;350 гр.;;200 гр.;;65 гр.;;55 гр.;;35 гр.;

Дашборд: Tаблица 1-1
2 679
Общий улов шт.

Дашборд: Средний улов за выезд шт.
6

Дашборд: Максимальный улов шт.
90

Дашборд: Рыбалок
456

Дашборд: Tаблица 1-2
1
2
3
4
5
6
7
8
9
10

Данные: Справочник
Fiord Spoon 83мм (18г) #S930N;Acme;Блёсны;Колеблющиеся блёсны;
Kastmaster 52мм (10.5г) #SW138CH;Acme;Блёсны;Колеблющиеся блёсны;
Kastmaster 56мм (14г) #SW11TCHS;Acme;Блёсны;Колеблющиеся блёсны;
Kastmaster 62мм (21г) #SW115CHNB;Acme;Блёсны;Колеблющиеся блёсны;
Kastmaster 68мм (28г) #SW12TGG;Acme;Блёсны;Колеблющиеся блёсны;
Kastmaster 78мм (42.5г) #SW135CH;Acme;Блёсны;Колеблющиеся блёсны;
Little Cleo 40мм (7г) #C100NNB;Acme;Блёсны;Колеблющиеся блёсны;
Little Cleo Glow 40мм (7г) #GLG;Acme;Блёсны;Колеблющиеся блёсны;
Reef Runner Cicada (7г) #SSC30107;Acme;Блёсны;Блейдбейты;
Curl Tail Grub 1.5 #ChartreuseGlitter;Action Plastics;Силиконовые приманки;Твистеры;
Curl Tail Grub 1.5 #ChartreuseRedGlitter;Action Plastics;Силиконовые приманки;Твистеры;
Curl Tail Grub 2.25 #Chartreuse;Action Plastics;Силиконовые приманки;Твистеры;
Curl Tail Grub 2.25 #ChartreuseRedGlitter;Action Plastics;Силиконовые приманки;Твистеры;
Curl Tail Grub 2.25 #ClearXXXSilver;Action Plastics;Силиконовые приманки;Твистеры;
Curl Tail Grub 2.25 #Glow;Action Plastics;Силиконовые приманки;Твистеры;
Curl Tail Grub 2.25 #JapaneseRed;Action Plastics;Силиконовые приманки;Твистеры;
Curl Tail Grub 2.25 #White;Action Plastics;Силиконовые приманки;Твистеры;
Shad Minnow 3 #ClearXXXSilver;Action Plastics;Силиконовые приманки;Виброхвосты;
Shad Minnow 4 #White/Black;Action Plastics;Силиконовые приманки;Виброхвосты;
Twin Tail Grub 2 #Chartreussepepper;Action Plastics;Силиконовые приманки;Твистеры;
Prime 3.5 #SE47;Akkoi;Силиконовые приманки;Виброхвосты;
Prime 4.5 #SE40;Akkoi;Силиконовые приманки;Виброхвосты;
Reflex Crystal 40мм (3.6г) #R23;Akkoi;Блёсны;Колеблющиеся блёсны;
Reflex Crystal 40мм (3.6г) #R27;Akkoi;Блёсны;Колеблющиеся блёсны;
Bugsy Rock Soul 3.5 #S107;Bait Breath;Силиконовые приманки;Виброхвосты;
Bys Craw Portly 3 #138B ;Bait Breath;Силиконовые приманки;Раки;
Vibrax Original №2 (6г) #S;Blue Fox ;Блёсны;Вращающиеся блёсны;
Nano Minnow 1.6 #40;CF;Силиконовые приманки;Виброхвосты;
Nano Minnow 1.6 #76;CF;Силиконовые приманки;Виброхвосты;
Nimble 2.5 #12;CF;Силиконовые приманки;Раки;
Polaris 1.2 #42;CF;Силиконовые приманки;Слаги;
Polaris 1.2 #73;CF;Силиконовые приманки;Слаги;
Polaris 1.8 #11;CF;Силиконовые приманки;Слаги;
Polaris 1.8 #12;CF;Силиконовые приманки;Слаги;
Polaris 1.8 #5;CF;Силиконовые приманки;Слаги;
Polaris 1.8 #54;CF;Силиконовые приманки;Слаги;
Tipsy 1.2 #14;CF;Силиконовые приманки;Слаги;
Tipsy 1.2 #20;CF;Силиконовые приманки;Слаги;
Tipsy 1.2 #89;CF;Силиконовые приманки;Слаги;
Tipsy 1.2 #98;CF;Силиконовые приманки;Слаги;
Tipsy 2 #73;CF;Силиконовые приманки;Слаги;
Whitebait 0.8 #12;CF;Силиконовые приманки;Слаги;
Whitebait 0.8 #64;CF;Силиконовые приманки;Слаги;
Koume 70S (13г) #11;Columbia;Воблеры;Раттлины;
Chinook S 53мм (7г) #Gold;Daiwa;Блёсны;Колеблющиеся блёсны;
Effzett Natur 3D Spinner (4г) #Pike;DAM;Блёсны;Вращающиеся блёсны;
Spearhead Ryuki 70S (9г) #ACC3059 MatTiger;DUO;Воблеры;Минноу;
Spearhead Ryuki 70S (9г) #MCC4084 GoldYamame;DUO;Воблеры;Минноу;
Jerkbait 100SP (14.5г) 1.5м #Ara Macao;DUO;Воблеры;Минноу;
Goby 2 #022;Fanatik;Силиконовые приманки;Виброхвосты;
Larva 1.6 #006;Fanatik;Силиконовые приманки;Личинки;
Larva 2.5 #001;Fanatik;Силиконовые приманки;Личинки;
Lobster 2.2 #001;Fanatik;Силиконовые приманки;Раки;
Flint 5 #25;FRAPP;Силиконовые приманки;Виброхвосты;
Funky Shad 3.5 #PAL11;FRAPP;Силиконовые приманки;Виброхвосты;
Geko 4.5 #27;FRAPP;Силиконовые приманки;Виброхвосты;
Ball Bearing Spinner №2.5 (5.8) #BT01-006;Grows Culture;Блёсны;Вращающиеся блёсны;
Synchrony №2 (4г) #T01-010;Grows Culture;Блёсны;Вращающиеся блёсны;
Synchrony №2.5 (5г) #T01-002;Grows Culture;Блёсны;Вращающиеся блёсны;
Synchrony №2.5 (5г) #T01-009;Grows Culture;Блёсны;Вращающиеся блёсны;
Synchrony №3.5 (8г) #T01-015;Grows Culture;Блёсны;Вращающиеся блёсны;
